id,MUNICÍPIO,LOCALIDADE,LONGITUDE,LATITUDE,CÓDIGO DO,TI,CODIBGE,POPULAÇÃ,DATA DA PE,AQUÍFERO,FINALIDADE,PROFUNDIDA,VAZÃO (m³),ESTADO,RESÍDUO T,CLORETO,DUREZA,NITRATO,FERRO,COR APAREN,FLUORETO,MANGANÊS,NITRATO (1,PH,SULFATO,TURBIDEZ,ESTADO QUA,DATA DA CO,DATA DA AN,POPULAÇ_1,CÓDIGO _1
391,Mirante,JOSÉ VALÉRIO,-40.500555,-14.262222,20,Sudoeste Baiano,2921450,,10/04/2023,FISSURAL,NÃO INFORMADO,"120","4,1",VAZÃO APROVEITÁVEL,"2770","1030","1140","11,6","<0,08","11","0,042","0,21","11,6","7,02","122",<Null>,UTILIZÁVEL APÓS TRATAMENTO,02/05/2023,22/05/2023,,"-"
392,Mirante,CÁGADOS,-40.866388,-14.204722,20,Sudoeste Baiano,2921450,,08/04/2023,FISSURAL,NÃO INFORMADO,"138","1,41",VAZÃO APROVEITÁVEL,"8160","2650","3340","0,527","1,88","153","0,0935","5,26","0,527","7,55","333","15,3",UTILIZÁVEL APÓS TRATAMENTO,12/05/2023,27/06/2023,,"-"
393,Boninal,MULUNGU,-41.863333,-12.734166,3,Chapada Diamantina,2904001,,05/04/2023,FISSURAL,ABASTECIMENTO HUMANO,"0",<Null>,VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
394,Oliveira dos Brejinhos,ALECRIM,-43.098055,-12.052222,2,Velho Chico,2923209,,31/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","2,56",VAZÃO APROVEITÁVEL,"934","184","458","23,4","0,08","10","0,3194","0,04","23,4","7,47","68,3",<Null>,UTILIZÁVEL APÓS TRATAMENTO,23/04/2023,26/06/2023,,"-"
395,Oliveira dos Brejinhos,BONITO,-42.837777,-11.979999,2,Velho Chico,2923209,,29/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","2,57",VAZÃO APROVEITÁVEL,"1290","341","498","3,05","0,11","15","0,4738","0,13","3,05","7,58","5,41","1,24",UTILIZÁVEL APÓS TRATAMENTO,25/04/2023,26/06/2023,,"-"
396,Oliveira dos Brejinhos,QUEIMADA NOVA,-42.430554,-12.373888,2,Velho Chico,2923209,,28/03/2023,FISSURAL,NÃO INFORMADO,"90","6,95",VAZÃO APROVEITÁVEL,"7060","585","745","71,1","1,64","5","0,13",<Null>,"71,1","6,91","27,6",<Null>,UTILIZÁVEL APÓS TRATAMENTO,27/04/2023,22/05/2023,,"-"
397,Oliveira dos Brejinhos,COLÉGIO ESTADUAL TIRADENTES,-42.886666,-12.318332,2,Velho Chico,2923209,,26/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"80","7,14",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
398,Sebastião Laranjeiras,FAZENDA BRITOS,-43.090555,-14.52611,13,Sertão Produtivo,2930006,,21/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","22",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
399,Tremedal,CAETITU,-41.265,-14.841388,20,Sudoeste Baiano,2931806,,17/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","7,92",VAZÃO APROVEITÁVEL,"1560","461","675","0,475","<0,08","11","0,8279","0,07","0,475","7,53","120",<Null>,UTILIZÁVEL APÓS TRATAMENTO,30/05/2023,03/07/2023,,"-"
400,Belo Campo,LAGOA DO CANTO,-41.239444,-15.116388,20,Sudoeste Baiano,2903508,,14/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"0",<Null>,VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
401,Caraíbas,BOA VISTA,-41.24861,-14.669443,20,Sudoeste Baiano,2906899,,12/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"120","0,35",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
402,Caraíbas,MARRECA,-41.283888,-14.730277,20,Sudoeste Baiano,2906899,,11/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","2,8",VAZÃO APROVEITÁVEL,"1360","162,8","1240","<0,003","0,78","34","<0,0033","0,8","<0,003","7,11","12,8","6,62",UTILIZÁVEL APÓS TRATAMENTO,14/04/2023,25/05/2023,,"-"
403,Barra do Choça,AGUA FRIA II,-40.557777,-14.887499,20,Sudoeste Baiano,2902906,,10/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"150","0,76",VAZÃO APROVEITÁVEL,<Null>,"5,77",<Null>,"0,025",<Null>,<5,"0,1817",<Null>,"0,025","6,45","3,74","0,62",ADEQUADA PARA CONSUMO HUMANO,29/04/2023,18/05/2023,,"-"
404,Bom Jesus da Serra,PÉ DO MORRO,-40.552222,-14.390555,20,Sudoeste Baiano,2903953,,09/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"130","5,72",VAZÃO APROVEITÁVEL,"1790","755","824","3,08","<0,08","10","0,3088","0,38","3,08","6,49","62,3","0,52",UTILIZÁVEL APÓS TRATAMENTO,01/05/2023,22/05/2023,,"-"
405,Cândido Sales,BARRIGUDA,-41.272777,-15.303055,20,Sudoeste Baiano,2906709,,09/03/2023,FISSURAL,NÃO INFORMADO,"120","3,13",VAZÃO APROVEITÁVEL,"754","356","227","12","<0,07","57","9,5","0,251","12","5,88","9,5","8,49",UTILIZÁVEL APÓS TRATAMENTO,02/04/2023,22/05/2023,,"-"
406,Bom Jesus da Serra,GIGANTE,-40.661388,-14.3575,20,Sudoeste Baiano,2903953,,08/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"100","20,31",VAZÃO APROVEITÁVEL,"2166","842","852","9,13","0,19",<5,"<0,0033","1","9,13","7,06","297","4,42",UTILIZÁVEL APÓS TRATAMENTO,17/04/2023,25/05/2023,,"-"
407,Bom Jesus da Serra,BENGÓ,-40.677777,-11.186388,20,Sudoeste Baiano,2903953,,07/03/2023,FISSURAL,ABASTECIMENTO HUMANO,"42","26,4",VAZÃO APROVEITÁVEL,"2470","1168","1000","1,23","0,08",<5,"0,0033","0,724","1,23","7","248",<Null>,UTILIZÁVEL APÓS TRATAMENTO,16/04/2023,25/05/2023,,"-"
