id,MUNICÍPIO,LOCALIDADE,LONGITUDE,LATITUDE,CÓDIGO DO,TI,CODIBGE,POPULAÇÃ,DATA DA PE,AQUÍFERO,FINALIDADE,PROFUNDIDA,VAZÃO (m³),ESTADO,RESÍDUO T,CLORETO,DUREZA,NITRATO,FERRO,COR APAREN,FLUORETO,MANGANÊS,NITRATO (1,PH,SULFATO,TURBIDEZ,ESTADO QUA,DATA DA CO,DATA DA AN,POPULAÇ_1,CÓDIGO _1
1,Ibitiara,BARRIGUDA,-42.222777,-12.705277,3,Chapada Diamantina,2913002,,27/03/2025,NÃO INFORMADO,ABASTECIMENTO HUMANO,"70","29,33",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
2,Riacho de Santana,OLHO D'ÁGUA DE ESBARRANCADO,-43.058055,-13.573888,2,Velho Chico,2926400,,17/03/2025,FISSURAL,ABASTECIMENTO HUMANO,"102","11",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
3,Riacho de Santana,TÁBUA DE CIMA,-43.119443,-13.553333,2,Velho Chico,2926400,,17/03/2025,NÃO INFORMADO,ABASTECIMENTO HUMANO,"120","4,95",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
4,Biritinga,SEDE 38,-38.736944,-11.5575,4,Sisal,2903607,,01/03/2025,SEMI-CONFINADO,ABASTECIMENTO HUMANO,"390","120",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
5,Ibitiara,MORRINHOS,-42.537777,-12.696388,3,Chapada Diamantina,2913002,,26/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"150","0,88",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
6,Ibitiara,LAGOA DAS MESTIÇAS,-42.538888,-12.697499,3,Chapada Diamantina,2913002,,23/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"132","0,92",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
7,Sento Sé,LIMOEIRO DA BATATEIRA,-41.373054,-10.078054,10,Sertão do São Francisco,2930204,,15/02/2025,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"130","2,46",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
8,Ibitiara,GOIAS,-42.386666,-12.69611,3,Chapada Diamantina,2913002,,12/02/2025,FISSURAL,NÃO INFORMADO,"114","0,94",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
9,Araci,FAZENDA APORÁ,-38.975832,-11.331388,4,Sisal,2902104,,12/02/2025,FISSURAL,NÃO INFORMADO,"90","0,99",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
10,Sento Sé,POÇO DO CAROÁ,-41.718054,-10.196666,10,Sertão do São Francisco,2930204,,12/02/2025,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"120","12,41",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
11,Juazeiro,BARAÚNAS (DISTRITO DE ITAMOTINGA),-39.997221,-9.326666,10,Sertão do São Francisco,2918407,,10/02/2025,FISSURAL,ABASTECIMENTO ANIMAL,"60","3,48",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
12,Oliveira dos Brejinhos,CAJUEIRO,-42.883054,-12.025554,2,Velho Chico,2923209,,08/02/2025,CONFINADO / CÁRSTICO,ABASTECIMENTO HUMANO,"100","2,1",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
13,Piripá,FAZENDA BOA VISTA,-41.76,-14.872221,20,Sudoeste Baiano,2924702,,08/02/2025,FISSURAL,NÃO INFORMADO,"120","3,85",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
14,Condeúba,SAPÉ,-42.02861,-14.664722,20,Sudoeste Baiano,2908705,,07/02/2025,FISSURAL,NÃO INFORMADO,"120","1,25",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
15,Oliveira dos Brejinhos,ALEGRE,-42.856111,-12.073054,2,Velho Chico,2923209,,06/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"80","8,61",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
16,Ibitiara,FAVELA,-42.411111,-12.64861,3,Chapada Diamantina,2913002,,06/02/2025,FISSURAL,NÃO INFORMADO,"120","0,74",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
17,Barra do Choça,ASSENTAMENTO CANGUSSU,-40.650277,-14.954722,20,Sudoeste Baiano,2902906,,06/02/2025,FISSURAL,NÃO INFORMADO,"120","0,52",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
18,Ibitiara,ONÇA,-42.408333,-12.6125,3,Chapada Diamantina,2913002,,05/02/2025,FISSURAL,NÃO INFORMADO,"130","0,54",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
19,Mairi,GATO,-40.189721,-11.833333,15,Bacia do Jacuípe,2920106,,05/02/2025,FISSURAL,ABASTECIMENTO HUMANO,"120","3,11",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
20,Ibitiara,SALGADA,-42.485277,-12.604166,3,Chapada Diamantina,2913002,,03/02/2025,FISSURAL,NÃO INFORMADO,"120","7,77",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
21,Ibotirama,BAIXA FUNDA,-43.205277,-12.237221,2,Velho Chico,2913200,,31/01/2025,LIVRE / FISSURAL,ABASTECIMENTO HUMANO,"0",<Null>,VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
22,Vitória da Conquista,ASSENTAMENTO FÁBIO SANTOS,-40.983333,-15.430554,20,Sudoeste Baiano,2933307,,28/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"130","0,53",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
23,Tanque Novo,MURICI,-42.655,-13.506666,13,Sertão Produtivo,2931053,,25/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"46","15,53",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
24,Tanque Novo,SÃO FELIPE,-42.386944,-13.652222,13,Sertão Produtivo,2931053,,23/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"156","0,33",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
25,Iuiu,CAPOEIRA,-43.573332,-14.531943,13,Sertão Produtivo,2917334,,22/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"150","14,4",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
26,Iuiu,AGRESTE,-43.467499,-14.39611,13,Sertão Produtivo,2917334,,21/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"150","10,85",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
27,Santaluz,BARBAÇO,-39.424721,-11.147221,4,Sisal,2928000,,10/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"150","0,35",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
28,Santaluz,FAZENDA VARGEM NOVA,-39.739999,-11.330832,4,Sisal,2928000,,09/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"130","2,51",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
29,Mairi,FAZENDA AURORA,-40.218054,-11.620277,15,Bacia do Jacuípe,2920106,,09/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"100","2,81",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
30,Baixa Grande,IPOEIRA,-40.037221,-12.008611,15,Bacia do Jacuípe,2902609,,06/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"112","8",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
31,Baixa Grande,LAGOA DO MANDÚ,-40.025277,-11.924166,15,Bacia do Jacuípe,2902609,,05/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"130","3,52",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
32,Baixa Grande,CANCELAS,-39.984721,-12.044721,15,Bacia do Jacuípe,2902609,,03/01/2025,FISSURAL,ABASTECIMENTO HUMANO,"130","0,99",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
33,Mucugê,TAMANDUÁ,-41.601666,-13.017777,3,Chapada Diamantina,2921906,,01/12/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","11,31",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
34,Palmas de Monte Alto,MUQUÉM,-43.356666,-13.995833,13,Sertão Produtivo,2923407,,30/11/2024,MISTO,ABASTECIMENTO HUMANO,"84","0,78",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
35,Sítio do Mato,ASSENTAMENTO MANGAL DOIS,-43.445555,-12.694999,2,Velho Chico,2930758,,27/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"138","14,4",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
36,Brumado,FULUCA,-41.815277,-14.058055,13,Sertão Produtivo,2904605,,25/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"99","6,09",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
37,Juazeiro,COLÉGIO ANTONILA DA FRANÇA,-40.155555,-9.579166,10,Sertão do São Francisco,2918407,,23/11/2024,FISSURAL,NÃO INFORMADO,"130","1,65",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
38,Barra do Choça,BARRAGEM DO RIO CATOLÉ,-40.525832,-14.829999,20,Sudoeste Baiano,2902906,,22/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"140","2,49",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
39,Contendas do Sincorá,MORRO REDONDO,-41.204722,-13.728332,13,Sertão Produtivo,2908804,,21/11/2024,LIVRE / FISSURAL,ABASTECIMENTO HUMANO,"100","8,43",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
40,Tanhaçu,TANQUE DA PEDRA,-41.172499,-14.241388,13,Sertão Produtivo,2931004,,18/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","5,78",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
41,Tanhaçu,RIACHO D'ANTAS,-41.133888,-14.315833,13,Sertão Produtivo,2931004,,17/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","3,16",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
42,Caetanos,CALDEIRÃO NOGUEIRA,-40.924999,-14.216111,20,Sudoeste Baiano,2905156,,17/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","8,43",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
43,Caetanos,RIACHÃO DA VARGEM,-41.017499,-14.348055,20,Sudoeste Baiano,2905156,,17/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"70","4,71",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
44,Bom Jesus da Lapa,FAZ. MELANCIA,-43.385833,-13.095277,2,Velho Chico,2903904,,13/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"130","9,9",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
45,Biritinga,POÇO SEDE 20-A,-38.780277,-11.589999,4,Sisal,2903607,,11/11/2024,CONFINADO,NÃO INFORMADO,"344,33","132",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
46,Riacho de Santana,BARREIRO VERMELHO,-42.956388,-13.569999,2,Velho Chico,2926400,,10/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"128","7,92",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
47,Bom Jesus da Lapa,BARREIRO DAS PIABAS,-42.961666,-13.254166,2,Velho Chico,2903904,,06/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"130","0,63",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
48,Igaporã,CURRAL FÁCIL,-42.817221,-13.998888,2,Velho Chico,2913408,,05/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"118","2,99",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
49,Barra do Choça,INGAZEIRA,-40.516943,-14.789999,20,Sudoeste Baiano,2902906,,04/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","11",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
50,Ibicoara,MUNDO NOVO,-41.21,-13.375832,3,Chapada Diamantina,2912202,,03/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","27,31",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
51,Ipirá,RANCHO IMPOEIRA,-39.646388,-12.040555,15,Bacia do Jacuípe,2914000,,03/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"130","1,02",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
52,Barro Alto,VOLTA GRANDE (Comunidade Quilombola),-41.895555,-11.791666,1,Irecê,2903235,,02/11/2024,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"150","1,78",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
53,Boquira,LAGOA GRANDE,-42.5575,-12.723888,12,Bacia do Paramirim,2904100,,01/11/2024,FISSURAL,ABASTECIMENTO HUMANO,"132","2,9",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
54,Boquira,CACHOEIRA DE ZÉ NOVO,-42.532221,-11.825554,12,Bacia do Paramirim,2904100,,30/10/2024,FISSURAL,NÃO INFORMADO,"132","6,83",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
55,Barro Alto,MANCHAS OU MANCHAS DO ALCEU,-41.733888,-11.919999,1,Irecê,2903235,,29/10/2024,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"150","3,44",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
56,Paulo Afonso,ASSENTAMENTO ALTO BONITO,-38.387221,-9.7125,24,Itaparica,2924009,,27/10/2024,LIVRE,NÃO INFORMADO,"0",<Null>,VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
57,Barra do Choça,SALINAS,-40.632777,-14.956111,20,Sudoeste Baiano,2902906,,26/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"80","7,07",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
58,Oliveira dos Brejinhos,BELA VISTA,-43.089999,-12.022777,2,Velho Chico,2923209,,25/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","6,95",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
59,Maetinga,MOREIRA,-41.566388,-14.609444,20,Sudoeste Baiano,2919959,,23/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"80","2,33",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
60,Oliveira dos Brejinhos,IPUÇABA,-42.93361,-12.119721,2,Velho Chico,2923209,,22/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"60","22",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
61,Cafarnaum,ASSENTAMENTO BOM VIVER,-41.501111,-11.648888,1,Irecê,2905305,,21/10/2024,CÁRSTICO,ABASTECIMENTO HUMANO,"123","3,57",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
62,Barro Alto,QUEIMADINHA,-41.798888,-11.874999,1,Irecê,2903235,,19/10/2024,CÁRSTICO / FISSURAL,ABASTECIMENTO HUMANO,"71","3,63",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
63,Ipupiara,SANTO ANTÔNIO,-42.553611,-11.830277,1,Irecê,2914109,,19/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"80","8,9",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
64,Lapão,PERDIDA,-41.734444,-11.524999,1,Irecê,2919157,,19/10/2024,CÁRSTICO,ABASTECIMENTO HUMANO,"160","9,32",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
65,Curaçá,PATAMUTE,-39.58611,-9.626666,10,Sertão do São Francisco,2909901,,19/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"123","1,46",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
66,Tremedal,SALININHA,-41.528888,-15.045555,20,Sudoeste Baiano,2931806,,19/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"100","0,64",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
67,São Gabriel,CURRALINHO,-41.59611,-10.88861,1,Irecê,2929255,,18/10/2024,CÁRSTICO,ABASTECIMENTO HUMANO,"87","6,89",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
68,Tremedal,FAZ. BREJINHO,-41.539444,-15.034721,20,Sudoeste Baiano,2931806,,18/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"120","0,94",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
69,Barra do Mendes,LAGOA DO QUEIMADÃO,-42.090833,-11.87611,1,Irecê,2903003,,16/10/2024,CÁRSTICO,ABASTECIMENTO HUMANO,"150","10,56",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
139,São Domingos,LAGOA DA TORRE,-39.524443,-11.501944,4,Sisal,2928950,,26/08/2024,FISSURAL,NÃO INFORMADO,"120","0,62",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
70,Barra do Mendes,LAGOA DAS AREIAS,-42.101666,-12.023332,1,Irecê,2903003,,15/10/2024,FISSURAL,ABASTECIMENTO HUMANO,"80","4,71",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
71,Ibicoara,CANJERANA DOIS,-41.287499,-13.425554,3,Chapada Diamantina,2912202,,15/10/2024,FISSURAL,NÃO INFORMADO,"120","12",VAZÃO APROVEITÁVEL,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,NÃO INFORMADO,<Null>,<Null>,,"-"
